2022,"6,861,925","86,932","42,823","44,109","155,470","77,758","77,712","88,428","80,428","8,000","85,712","6,991,745","129,821",1.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,"6,991,745","88,301","43,671","44,630","153,117","77,409","75,708","89,244","81,244","8,000","83,708","7,120,084","128,338",1.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,"7,120,084","89,479","44,535","44,943","150,751","77,739","73,012","89,988","81,988","8,000","81,012","7,246,040","125,956",1.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,"7,246,040","90,469","45,437","45,033","151,110","79,494","71,616","90,698","82,698","8,000","79,616","7,370,688","124,649",1.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,"7,370,688","91,304","46,377","44,928","151,469","79,891","71,578","91,375","83,375","8,000","79,578","7,495,194","124,505",1.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,"7,495,194","92,011","47,345","44,666","152,104","80,314","71,789","92,019","84,019","8,000","79,789","7,619,649","124,455",1.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,"7,619,649","92,602","48,364","44,238","152,738","80,686","72,052","92,680","84,680","8,000","80,052","7,743,940","124,291",1.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,"7,743,940","93,105","49,438","43,667","153,373","81,110","72,263","93,343","85,343","8,000","80,263","7,867,870","123,930",1.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,"7,867,870","93,552","50,558","42,994","154,008","81,534","72,474","94,000","86,000","8,000","80,474","7,991,337","123,467",1.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,"7,991,337","93,979","51,740","42,239","154,643","81,933","72,710","94,672","86,672","8,000","80,710","8,114,286","122,949",1.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,"8,114,286","94,438","52,939","41,500","155,278","82,358","72,920","95,328","87,328","8,000","80,920","8,236,706","122,419",1.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,"8,236,706","94,975","54,179","40,797","155,940","82,757","73,183","95,973","87,973","8,000","81,183","8,358,685","121,980",1.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,"8,358,685","95,621","55,454","40,167","156,602","83,157","73,446","96,625","88,625","8,000","81,446","8,480,298","121,613",1.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,"8,480,298","96,407","56,763","39,644","157,265","83,582","73,682","97,240","89,240","8,000","81,682","8,601,624","121,326",1.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,"8,601,624","97,305","58,081","39,223","157,927","84,009","73,919","97,808","89,808","8,000","81,919","8,722,766","121,142",1.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,"8,722,766","98,432","59,274","39,158","158,590","84,383","74,207","98,383","90,383","8,000","82,207","8,844,131","121,365",1.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,"8,844,131","99,682","60,489","39,193","159,252","84,836","74,416","98,955","90,955","8,000","82,416","8,965,740","121,610",1.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,"8,965,740","101,025","61,725","39,300","159,942","85,289","74,653","99,517","91,517","8,000","82,653","9,087,693","121,952",1.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040,"9,087,693","102,414","62,964","39,450","160,632","85,743","74,889","100,060","92,060","8,000","82,889","9,210,031","122,339",1.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,"9,210,031","103,817","64,199","39,618","161,322","86,197","75,125","100,602","92,602","8,000","83,125","9,332,774","122,743",1.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2042,"9,332,774","105,203","65,420","39,783","162,012","86,651","75,361","101,138","93,139","8,000","83,361","9,455,918","123,143",1.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2043,"9,455,918","106,535","66,622","39,913","162,730","87,106","75,623","101,676","93,676","8,000","83,623","9,579,454","123,537",1.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,"9,579,454","107,794","67,786","40,008","163,447","87,561","75,886","102,214","94,214","8,000","83,886","9,703,349","123,894",1.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045,"9,703,349","108,978","68,927","40,051","164,165","88,043","76,122","102,740","94,740","8,000","84,122","9,827,522","124,173",1.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2046,"9,827,522","110,080","70,036","40,044","164,882","88,525","76,357","103,250","95,250","8,000","84,357","9,951,923","124,402",1.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,"9,951,923","111,107","71,119","39,988","165,600","88,981","76,619","103,748","95,748","8,000","84,619","10,076,530","124,607",1.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,"10,076,530","112,088","72,188","39,900","166,318","89,437","76,880","104,229","96,229","8,000","84,880","10,201,310","124,780",1.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,"10,201,310","113,034","73,216","39,818","167,035","89,894","77,141","104,681","96,681","8,000","85,141","10,326,270","124,959",1.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,"10,326,270","113,962","74,216","39,746","167,753","90,404","77,349","105,098","97,098","8,000","85,349","10,451,365","125,095",1.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2051,"10,451,365","114,898","75,206","39,693","168,470","90,861","77,609","105,481","97,481","8,000","85,609","10,576,667","125,302",1.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2052,"10,576,667","115,845","76,186","39,659","169,188","91,319","77,869","105,830","97,830","8,000","85,869","10,702,194","125,528",1.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2053,"10,702,194","116,799","77,157","39,642","169,906","91,777","78,129","106,153","98,153","8,000","86,129","10,827,965","125,770",1.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2054,"10,827,965","117,760","78,115","39,645","170,623","92,235","78,388","106,456","98,456","8,000","86,388","10,953,998","126,033",1.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2055,"10,953,998","118,719","79,065","39,653","171,341","92,747","78,594","106,745","98,745","8,000","86,594","11,080,245","126,247",1.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2056,"11,080,245","119,663","80,003","39,660","172,086","93,206","78,880","107,024","99,024","8,000","86,880","11,206,785","126,540",1.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
